NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,log_prestamo,pr_recup,edad,faltas,val_pren_std,genero,pres_antes,plan_gasto_bin,masqueprepa,pb,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-868204148407e7,42124334,220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1929569,100,31,0,-0.60880059,0,1,1,1,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.4290759186700779
-868094600047e7,42126034,252,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.9306269,100,43,0,-0.26883677,1,1,1,1,0,0,-1.2769034,0.0012477938606394218,1.1786773172033752e-4,0.35418815885811106
-868094600047e7,42126033,252,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2024822,100,43,0,-0.26883677,1,1,1,1,0,0,-1.2769041,0.0012477938606394218,1.1786773172033752e-4,0.36406035528220604
-868094600047e7,42126032,252,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.6143198,100,43,0,-0.26883677,1,1,1,1,0,0,-1.2769001,0.0012477938606394218,1.1786773172033752e-4,0.3572333873432982
-868094600047e7,42126035,252,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4184771,100,43,0,-0.26883677,1,1,1,1,0,0,-1.2769029,0.0012477938606394218,1.1786773172033752e-4,0.3653400418426854
-868094600047e7,42126065,265,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8.9771461,100,43,0,-0.26883677,1,1,1,1,0,1,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.37646284033029465
-867858915835e7,80117578,400,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.8977051,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.23545620980831725
-867858915835e7,80117577,400,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.7334018,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.23533366146860527
-867858915835e7,80117575,400,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.7569323,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.23529241365043968
-867858915835e7,80117579,400,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.363028,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.23294698125900176
-867858915835e7,80117576,400,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6.6846118,100,43,0,-0.26883677,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.23513280291534397
-8.6639353585999995e+018,80117545,398,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6066504,60,43,0.42857143,-0.48496094,1,1,1,1,0,0,-1.4285715,0.0012477938606394218,1.1786773172033752e-4,0.1554546693790802
