NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_6,fc_admin,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-905294117521e7,80116808,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,828.57141,-937.4904702242952,229386.3057322278,0.31862880538447885
-904655897558e7,78133050,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2325.1602,-370.0429341960337,300898.9319387662,0.731610600811277
-902162038152e7,80117244,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3257.1428,206.09470804759525,192393.0061645499,0.3732728609271869
-902056606811e7,42125102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657.2299,622.9313504719134,181760.24125066897,0.2200336258833357
-9.0113190887600005e+018,5514183,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,371.42856,-134.05458154828693,100119.85466695012,0.9927636893037362
-9.0113190887600005e+018,5514184,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,730.41003,-109.68056020855946,122873.43712767311,0.9930042762359084
-900900841802e7,3594496,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,968.71002,465.560701201457,306635.27663237386,0.6988820564565791
-90072415871e8,10463051,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3957.1428,-151.65409273959168,140956.68543564947,0.28173661386273147
-900651609038e7,10462052,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2263.3201,-236.3911900088818,205087.45486072527,0.45607740858251455
-898926676097e7,3591006,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,885.45288,-54.614016353800956,131731.7259835506,0.9915653784641436
-898926676097e7,3595974,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7594.7456,64.26822503009076,105276.33791929125,0.20660172076436908
