NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
378606457315e7,78134325,325,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.1236269,0.008554938226345484,2.3919660479358452e-4,0.5884879268969472
378606457315e7,78134570,334,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-1.2086153,0.008462038660930187,2.411519635378065e-4,0.4889590781925687
378606457315e7,78134571,334,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-1.4285715,0.008462038660930187,2.411519635378065e-4,0.4889590781925687
378606457315e7,78134569,334,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-1.1931629,0.008462038660930187,2.411519635378065e-4,0.4889590781925687
3.7953223328199997e+018,78136330,364,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.008429169017560622,2.6913688951950553e-4,0.6818799240116225
381697899803e7,5514475,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.008949818580093154,2.133833933947186e-4,0.4564394878880045
382519437887e7,80115933,380,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.4285715,0.009556610707043153,2.1397685228736004e-4,0.35697420001001895
382519437887e7,80118316,413,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,-1.4285715,0.009165509202491354,2.1784587033352548e-4,0.6062881276878211
383421064356e7,80117783,405,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.4285715,0.009215003051937285,2.869941227038106e-4,0.6082894960026619
383421064356e7,80117782,405,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.4285715,0.009215003051937285,2.869941227038106e-4,0.6082894960026619
384396508775e7,80116899,377,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.8998837,0.009165509202491354,2.1784587033352548e-4,0.5497367692893611
384396508775e7,80116900,377,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.8998835,0.009165509202491354,2.1784587033352548e-4,0.5497367692893611
384396508775e7,80116901,377,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.8998774,0.009165509202491354,2.1784587033352548e-4,0.5497367692893611
384396508775e7,80116902,377,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.8998872,0.009165509202491354,2.1784587033352548e-4,0.5497367692893611
384396508775e7,80118868,433,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1.9024582,0.009247820694815034,2.592248347413344e-4,0.6002556481344401
3.8549957284999997e+018,78134627,335,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.00889155007505674,2.443368548971325e-4,0.43446759118211725
3.8549957284999997e+018,78134626,335,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.00889155007505674,2.443368548971325e-4,0.43446759118211725
