NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_9,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
404902468281e7,78134596,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1.9136059,-0.01734195148134236,0.002988426564600104,0.18170583496086626
405924837187e7,3594099,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8792781,-0.012581885472707006,0.0033628828083688634,0.010436438393500846
405924837187e7,3592265,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.1486049,-0.027511776836610415,0.0036990132372597827,0.19534273362249252
4.0598492391800003e+018,78132546,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9185085,-0.025117187974725126,0.0033705295339986536,0.3793547311556099
4.0628536467399997e+018,42124674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.9733098,-0.03653855446815912,0.0016942974919880386,0.6346834184755729
4.0628536467399997e+018,42124671,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.9733167,-0.03376109353064368,9.160431864233043e-4,0.6373159571632098
4.0628536467399997e+018,42124673,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.9733192,-0.03432407107879537,0.0015021795770026212,0.6391673080144271
4.0628536467399997e+018,42124670,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.9733143,-0.03499710314162188,0.0014683441099088124,0.6260334962477351
4.0628536467399997e+018,42124672,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.9733214,-0.03532342287960041,0.0012327370273123805,0.6372383479110278
4.0628536467399997e+018,42124788,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.9434034,0.029359521545396453,4.8522782581043465e-4,0.449326658909699
408288633085e7,10463844,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.07062656709862357,0.001845116919450958,0.1907477616921914
408494231179e7,80117462,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9024577,0.048440962670243115,0.0014586209826294109,0.12491330654560387
409370020327e7,10462815,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.3952055,-0.05923100174401473,0.0018676709382492896,0.444548452318044
409831207219e7,10463876,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.030464861300210515,0.001191826160059591,0.3464054167450988
413038788136e7,80117744,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.4285715,0.024741581642181848,0.0023313580540616093,0.01493515799298301
4.1400524865799997e+018,10462047,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.07147493861569887,0.0017425568549403175,0.18617461551215228
4.1400524865799997e+018,10462048,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.06718332613563147,0.0011808511129855744,0.18621924260438003
4.1400524865799997e+018,10462049,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6953571,-0.06828277806375183,0.0018195377585046482,0.19172999182279166
4.1400524865799997e+018,10462050,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.07119016316140127,0.0024587197461236865,0.19372424256467916
415053960495e7,3594509,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2884545,0.04230832578437776,0.002891269733656466,0.36742886028488075
415194008303e7,42123999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1770487,-0.004883672247697625,0.0025376685058935596,0.021130160722992435
415194008303e7,42124000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1666265,-0.007426054460247274,0.002231560150041326,0.01998684230320837
415194008303e7,42125277,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.8176764,-0.05523093651494696,0.0016344757471222677,0.445698071542377
415194008303e7,42125278,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.8173913,-0.0543702473574176,0.0011631720675412387,0.44359054178221075
415194008303e7,42125276,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.8175622,-0.052943894879368666,0.0020140731520346066,0.44432346257632305
415194008303e7,42125395,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.4285715,0.010286538486671963,0.0029385477227944507,0.006100337837762488
415194008303e7,42126031,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.4285715,-0.04576859907764996,0.001661571117583354,0.5011522358382615
415878800789e7,42125237,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2395251,-0.006927751791376794,0.0016331527385618405,0.1493689642190959
415878800789e7,42125236,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2395117,-0.008176482561661983,0.0013952684288146223,0.15251724716198303
415878800789e7,42125235,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2395186,-0.008574442842228042,0.0015210862475438958,0.1500729038790884
417502673999e7,78132533,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4661765,-0.024176205666652448,0.0036023683308874614,0.14322488957701315
417984650059e7,42125037,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0206027,0.04285309092866708,0.004759865193934064,0.15728968959421288
41867886712e8,80117841,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.02318,-0.016930055678762,0.0011365808337883844,0.05083339990265551
41867886712e8,80118722,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.4285715,-0.02921963888804109,0.0027485532289744175,0.014122781138643039
4.1898347271399997e+018,5514565,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6655149,0.019242014862608514,0.004084400754025506,0.00522417991594049
4.2121119772600003e+018,78136415,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285715,-0.010154616526087805,0.0026031928614001962,0.4178843974156207
421277705911e7,78134643,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4285715,0.07170625168526117,0.0034546819459638136,0.48575452704559685
4.2299600136999997e+018,42123541,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4285715,0.09233919856262181,0.002452616986497661,0.6592782513274238
423390092453e7,3592041,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2.2055852,-0.04893615295035579,0.0012212841591640598,0.984216653808238
423390092453e7,3592271,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.1617842,-0.05454373211042768,0.00242965105103068,0.446636762572371
424519130813e7,78135046,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5063953,-0.015368567693254736,0.00361619800756308,0.3969404229213967
4246160158e9,78133262,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9398441,-0.019877981016610848,0.003799276619229408,0.14625433595750967
424887358327e7,10463477,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.8973048,-0.08597226881562178,0.0012844959294041791,0.3111598467241061
