sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
1.2240642,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.14285715,0.095806524,1,0,3592101,0,0.12451663485760137,0.007794466952366861
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,-0.4313404,1,0,80118618,1,0.016256897577038656,0.002710896641016385
1.1107441,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0.14285715,-0.53275663,1,0,78133294,0,0.02863791645820436,0.0018021349985594061
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,-0.52584499,1,0,78136109,0,-0.02366578118790139,0.005669294560292792
1.1802807,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,60,0,-0.063352287,1,0,42124383,0,0.14440853338282647,0.002157115173223437
1.154529,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0.22404926,1,1,80117915,0,0.17156039609329504,0.0018895086821581434
1.2369421,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2857143,0.39281446,1,1,3594093,1,0.11551891767059087,0.00603223723169297
1.2369429,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2857143,0.2269356,1,1,3594094,1,0.10775395384793561,0.006342699403560269
0.51237214,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.66666669,-0.68135637,1,1,42124022,0,0.12406179780753984,0.014043880680706526
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,-0.56444448,1,1,78134579,0,0.08943920954208211,0.002626312134284525
1.2369438,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.5954359,0,0,3595323,0,0.22676063891297846,0.003364765680548499
1.1073914,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.14285715,-0.50223994,1,1,42124589,0,0.04527129096069443,0.006183790180555033
