NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,OC,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,pago_frec_vol_fee,pago_frec_vol_promise,pago_frec_vol
-8.85155055418e+18,42123493,187,0,0,0,1,0,0,0,0,1,0,0,0,420,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-8.85155055418e+18,42123492,187,0,0,0,1,0,0,0,0,1,0,0,0,440,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
-8.85104148851e+18,80119065,440,0,1,0,0,0,0,0,0,0,0,1,0,200,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-8.84866452623e+18,3592357,17,0,1,0,0,0,0,1,0,0,0,0,0,2910,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.84752642594e+18,3586669,14,0,0,0,0,1,0,1,0,0,0,0,0,1020,100,61,2,2,,1,1,0,,,,,,,,,,,0,1,,,,0,1,1,1,,0,,0
-8.83785679387e+18,78135179,360,0,0,0,1,0,0,0,0,0,1,0,0,1500,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.83785679387e+18,78135180,360,0,0,0,1,0,0,0,0,0,1,0,0,2660,100,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
-8.83702491478e+18,78134958,344,0,0,0,0,1,0,0,0,0,1,0,0,1720,100,44,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0,1,1,0,0,,0
-8.83540410984e+18,42124251,213,0,0,0,0,0,1,0,0,1,0,0,0,3390,100,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
-8.83156548718e+18,42124330,220,1,0,0,0,0,0,0,0,1,0,0,0,730,100,,1,1,.14285715,,1,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,1,,1,1
-8.83156548718e+18,42124332,220,1,0,0,0,0,0,0,0,1,0,0,0,900,100,,1,1,.14285715,,1,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,1,,1,1
-8.83156548718e+18,42124331,220,1,0,0,0,0,0,0,0,1,0,0,0,1470,100,,1,1,.14285715,,1,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,1,,1,1
-8.81923817403e+18,78134815,341,0,1,0,0,0,0,0,0,0,1,0,0,830,100,81,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0
-8.81306428802e+18,78133015,293,1,0,0,0,0,0,0,0,0,1,0,0,3180,100,51,1,1,,1,1,1,,,,,,,,,,,0,0,,,,1,0,1,1,,0,,0
-8.81306428802e+18,78134951,344,0,0,0,0,1,0,0,0,0,1,0,0,9550,100,51,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,,0
