nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_choose_same1,dummy_choose_same2,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol
3.09298816935e+18,10462418,0,0,1,0,0,0,0,0,0,0,3160,100,47,1,.14285715,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,.11019578,0,
3.09298816935e+18,10463825,0,1,0,0,0,0,0,0,0,0,350,100,47,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,.081764027,0,
3.12006215344e+18,78132687,0,0,0,0,1,0,0,0,1,0,100,100,84,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,.10330858,0,
3.16168399856e+18,78132471,0,0,0,0,1,0,0,0,1,0,880,85,26,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,.09656094,0,
3.16168399856e+18,78132469,0,0,0,0,1,0,0,0,1,0,9350,100,26,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,.06935937,0,
3.16844971632e+18,10462051,0,0,0,1,0,0,0,0,0,0,690,100,42,1,.14285715,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,.089251481,0,
3.17822816612e+18,3594508,0,0,0,0,0,1,0,0,0,0,680,100,55,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,.1516764,0,
3.19769489896e+18,10463491,0,0,0,0,0,0,0,0,0,0,880,100,37,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,.10816209,0,
3.20161396435e+18,78134185,0,0,0,0,0,0,0,0,1,0,330,0,40,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,.081316978,0,
3.28621394266e+18,80119119,0,0,0,0,1,0,0,0,0,1,1600,100,64,3,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,.14425188,0,
3.31393917973e+18,80118093,1,0,0,0,0,0,0,0,0,1,410,100,62,1,.14285715,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,.1122091,0,
3.33633150870e+18,78136399,0,0,0,0,1,0,0,0,1,0,390,100,75,1,.42857143,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,.10875013,0,
3.38520049765e+18,78133825,0,1,0,0,0,0,0,0,1,0,2850,10,62,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,.1270549,0,
3.38995983644e+18,3593993,1,0,0,0,0,1,0,0,0,0,1420,90,40,1,.42857143,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,.13000378,0,
3.39425037407e+18,5521307,0,0,0,0,1,0,1,0,0,0,5730,70,48,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.16688052,0,
3.41758632489e+18,80116980,1,0,0,0,0,0,0,0,0,1,320,100,55,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,.12696138,0,
3.42527591393e+18,3594065,0,0,1,0,0,1,0,0,0,0,21000,100,46,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,.20188996,0,
3.45952229536e+18,80118018,0,0,0,0,0,0,0,0,0,1,1010,10,47,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.14670371,0,
3.47309910059e+18,5520102,0,0,0,1,0,0,1,0,0,0,690,100,22,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,.091546759,0,
3.54488425110e+18,80116780,1,0,0,0,0,0,0,0,0,1,1360,50,23,1,.42857143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.11231102,0,
3.54984686521e+18,5521280,0,0,0,1,0,0,1,0,0,0,2350,100,19,1,.2857143,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,.12117934,0,
3.54984686521e+18,5521279,0,0,0,1,0,0,1,0,0,0,2680,100,19,1,.2857143,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,.11187003,0,
3.56903120221e+18,42123892,0,0,0,0,1,0,0,1,0,0,2000,100,63,1,.2857143,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,.18649805,0,
3.61031793604e+18,42125787,0,0,0,0,1,0,0,1,0,0,760,100,39,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,.11077072,0,
3.61130560194e+18,80117211,0,0,1,0,0,0,0,0,0,1,2000,100,46,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,.13630828,0,
3.61384701107e+18,42125101,0,0,1,0,0,0,0,1,0,0,180,100,24,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,.065173678,0,
3.61780034505e+18,78133261,1,0,0,0,0,0,0,0,1,0,4230,50,59,1,.14285715,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,.083260588,0,
3.61780034505e+18,78134200,0,0,0,0,0,0,0,0,1,0,3410,100,59,2,.2857143,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,.10217147,0,
3.62642034420e+18,5520108,0,0,0,1,0,0,1,0,0,0,130,90,48,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.21325631,0,
3.62642034420e+18,5520103,0,0,0,1,0,0,1,0,0,0,440,90,48,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.21920604,0,
3.64821654040e+18,80119141,0,0,0,0,1,0,0,0,0,1,530,100,53,1,.5714286,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,.084531635,0,
3.70722252256e+18,3594233,0,0,0,1,0,1,0,0,0,0,3830,100,35,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,.1127748,0,
3.70823423988e+18,3595239,0,1,0,0,0,1,0,0,0,0,4560,100,60,1,.14285715,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,.14928159,0,
3.72767643603e+18,3590970,0,0,0,1,0,1,0,0,0,0,1770,100,45,2,.14285715,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,.16773136,0,
3.73818234833e+18,5522942,0,0,0,0,1,0,1,0,0,0,960,100,56,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,.10489587,0,
3.74052038085e+18,5520261,0,0,0,0,1,0,1,0,0,0,1720,100,31,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,.15711296,0,
3.77157963921e+18,10463943,0,0,0,0,1,0,0,0,0,0,2520,100,51,1,.2857143,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,.14733693,0,
