des_c,dias_al_desempenyo,num_p,sum_porcp_c,ref_c,reincidence,t_producto,NombrePignorante,fecha_inicial,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_choose_same1,dummy_choose_same2,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,dummy_choose_same3,dummy_trabajo9,pro_2,pro_3,pro_4,pro_5
0,,0,0,0,0,1,-9.17719051673e+18,10/1/2012,1,0,0,0,0,0,0,0,0,1,0,0,5030,80,,1,,0,0,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,0
1,8,1,1.0231776,0,0,2,-9.17645643954e+18,9/6/2012,0,0,0,1,0,0,0,1,0,0,0,0,1970,100,49,1,.14285715,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,,,
0,,0,0,0,0,5,-9.17467215167e+18,9/14/2012,0,0,0,0,1,0,0,0,0,0,0,1,610,100,52,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,1
1,181,3,1.4713069,1,0,5,-9.17467215167e+18,9/26/2012,0,0,1,0,0,0,0,0,0,0,0,1,1010,100,52,2,,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,0,,,0,0,0,0,0,0,,,,1
0,,0,0,0,0,5,-9.17467215167e+18,10/15/2012,1,0,0,0,0,0,0,0,0,0,0,1,400,,52,3,,,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,0,,,0,0,0,0,0,0,,,,1
0,,0,0,0,0,2,-9.17467215167e+18,10/17/2012,0,0,1,0,0,0,0,0,0,0,0,1,2430,,52,4,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,0,,,0,0,0,0,1,0,1,,,
1,92,1,1.2395178,0,0,2,-9.17467215167e+18,10/17/2012,0,0,1,0,0,0,0,0,0,0,0,1,1680,,52,4,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,0,,,0,0,0,0,1,0,1,,,
1,9,1,1.0772648,0,0,,-9.17406068155e+18,10/22/2012,1,0,0,0,0,0,1,0,0,0,0,0,1020,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,,0,0,0,0,3,-9.17015649395e+18,10/27/2012,0,0,0,0,0,1,0,0,1,0,0,0,1170,,,1,0,0,1,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,1,0,1,1,1,0,,1,,
1,189,3,1.4750421,1,0,4,-9.16988485595e+18,9/8/2012,0,0,0,0,0,1,0,0,0,0,1,0,2610,,,1,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
0,,3,.48250312,1,0,1,-9.16988485595e+18,9/27/2012,0,0,0,1,0,0,0,0,0,0,1,0,3200,100,,2,,0,0,1,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,0
0,,3,.45843381,1,0,1,-9.16546731528e+18,9/14/2012,0,0,0,0,1,0,1,0,0,0,0,0,4080,80,54,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
0,,3,.46358085,1,0,1,-9.16516169086e+18,9/29/2012,0,0,0,0,0,1,1,0,0,0,0,0,1360,100,48,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0
0,,3,.47131625,1,0,4,-9.16287647658e+18,10/31/2012,0,0,1,0,0,0,0,0,0,0,1,0,2150,100,,1,.14285715,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,,,1,1,0,0,1,0,,,1,
0,,0,0,0,0,2,-9.16243522626e+18,9/12/2012,0,0,1,0,0,0,0,1,0,0,0,0,1120,50,40,1,.5714286,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,,,0,1,0,0,1,0,1,,,
